Tasso personale dipendente SSN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   ;                     ;2;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
1;Piemonte             ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;118,24;117,29;116,05;115,81;120,19;122,31;126,98;129,72;129,33;127,35;126,56;128,8;129,49;127,41;124,56;126,74;129,41;130,51;127,74;125,53;               ;               ;122,41;122,69;123,32;124,44;125,23;124,31;126,52;               ;               ;               
2;Valle d'Aosta        ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;148,56;147,1;156,91;146,47;153,44;149,22;152;151,66;155,87;158,96;158,84;153,05;161,1;159,5;153,65;153,61;154,32;159,86;162,14;166,98;               ;               ;169,78;169,11;167,39;168,25;177,26;170,94;166,42;               ;               ;               
3;Lombardia            ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;112,4;111,65;110,88;111,09;112,33;106,9;108,38;110,37;109,49;107,5;101,48;97,78;96,21;94,2;92,49;92,38;91,65;92,23;93;91,47;               ;               ;87,07;86,99;87,16;87,42;88,32;90,14;90,42;               ;               ;               
4;Trentino-Alto Adige  ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;142,44;143,46;144,7;144,5;155,78;142,78;147,39;149,72;150,87;150,79;152,82;152,34;152,68;153,93;153,38;153,35;152,66;154,93;159,52;157,04;               ;               ;155,37;156,64;157,01;160,15;159,48;160,57;160,97;               ;               ;               
5;Veneto               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;130,89;130,87;123;125,17;123,78;121,11;120,63;125,1;127,81;126,78;123,81;121,28;121,48;120,06;117,87;118,8;119,35;119,61;119,84;119,34;               ;               ;117,76;117,04;115,91;115,71;120,87;124,31;125;               ;               ;               
6;Friuli-Venezia Giulia;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;154,2;145,24;140,42;139,05;139,9;139,38;139,44;140,89;139,52;138,74;137,6;133,65;143,17;141,23;143,28;146,7;148,4;147,51;146,78;147,58;               ;               ;142,89;143,44;143,24;142,78;146,67;146,53;150,51;               ;               ;               
7;Liguria              ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;146,1;142,53;140,74;139,15;133,58;127,63;130,26;133,69;136,03;138,13;136,38;135,03;134,88;132,95;114,94;131,18;132,82;103,31;102,42;101,34;               ;               ;98,25;96,71;97,59;97,28;97,47;96,24;99,67;               ;               ;               
8;Emilia-Romagna       ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;141,53;136;138,87;137,22;132,26;128,15;129,51;131,69;134,07;135,01;116,28;129,78;132,18;130,97;130,66;131,03;131,93;134,04;133,52;130,89;               ;               ;125,04;126,03;127,7;131,36;140,66;133,11;134,95;               ;               ;               
9;Toscana              ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;139,47;140,43;135,21;134,87;133,16;130,65;135,99;139,31;140,3;139,34;136,46;131,99;135,97;134,1;133,31;134,23;135,72;135,98;135,36;132,94;               ;               ;129,46;130,66;130,31;129,41;140,69;142,55;142,82;               ;               ;               
